"%","Elderly Population","Young Population","Adult Education","Employment Rate","Self Employment Rate","Unemployment Rate"
"Belgium","17.9","17","36.9","61.7","14.6","8.6"
"Germany","21.4","13.1","27.1","73.6","11","5.2"
"Iceland","13.4","20.4","37.1","81.7","12.5","5.5"
"Italy","21.3","14","16.9","55.6","24.9","12.6"
"Norway","16","18.1","41.8","75.1","7.2","3.4"
"Turkey","7.8","24.3","16.7","49.7","34","9.1"
